State,Year,Percapta,Trated
Alabama,1970,89,0
Arkansas,1970,100,0
Colorado,1970,124,0
Connecticut,1970,120,0
Delaware,1970,155,0
Georgia,1970,109,0
Idaho,1970,102,0
Illinois,1970,124,0
Indiana,1970,134,0
Iowa,1970,108,0
Kansas,1970,114,0
Kentucky,1970,155,0
Louisiana,1970,115,0
Maine,1970,128,0
Monnesota,1970,104,0
Mississippi,1970,93,0
Missouri,1970,121,0
Montana,1970,111,0
Nebraska,1970,108,0
Nevada,1970,189,0
New Hampshire,1970,265,0
New Mexico,1970,90,0
North Carolina,1970,93,0
North Dakota,1970,121,0
Ohio,1970,108,0
Oklahoma,1970,107,0
Pennsylvania,1970,123,0
Rhode Island,1970,103,0
South Carolina,1970,92,0
South Dakota,1970,99,0
Tennessee,1970,92,0
Texas,1970,106,0
Utah,1970,65,0
Vermont,1970,122,0
Virginia,1970,124,0
West Virginia,1970,65,0
Wisconsin,1970,114,0
Wyomming,1970,106,0
California,1970,132,0
Alabama,1971,123,0
Arkansas,1971,95,0
Colorado,1971,104,0
Connecticut,1971,125,0
Delaware,1971,117,0
Georgia,1971,161,0
Idaho,1971,115,0
Illinois,1971,108,0
Indiana,1971,125,0
Iowa,1971,139,0
Kansas,1971,108,0
Kentucky,1971,102,0
Louisiana,1971,163,0
Maine,1971,119,0
Monnesota,1971,133,0
Mississippi,1971,116,0
Missouri,1971,105,0
Montana,1971,127,0
Nebraska,1971,115,0
Nevada,1971,108,0
New Hampshire,1971,190,0
New Mexico,1971,278,0
North Carolina,1971,92,0
North Dakota,1971,187,0
Ohio,1971,98,0
Oklahoma,1971,124,0
Pennsylvania,1971,115,0
Rhode Island,1971,106,0
South Carolina,1971,123,0
South Dakota,1971,115,0
Tennessee,1971,96,0
Texas,1971,106,0
Utah,1971,108,0
Vermont,1971,67,0
Virginia,1971,124,0
West Virginia,1971,128,0
Wisconsin,1971,111,0
Wyomming,1971,105,0
California,1971,131,0
Alabama,1972,121,0
Arkansas,1972,101,0
Colorado,1972,103,0
Connecticut,1972,134,0
Delaware,1972,110,0
Georgia,1972,156,0
Idaho,1972,117,0
Illinois,1972,126,0
Indiana,1972,126,0
Iowa,1972,149,0
Kansas,1972,109,0
Kentucky,1972,111,0
Louisiana,1972,179,0
Maine,1972,125,0
Monnesota,1972,136,0
Mississippi,1972,96,0
Missouri,1972,112,0
Montana,1972,130,0
Nebraska,1972,122,0
Nevada,1972,104,0
New Hampshire,1972,198,0
New Mexico,1972,296,0
North Carolina,1972,99,0
North Dakota,1972,214,0
Ohio,1972,103,0
Oklahoma,1972,124,0
Pennsylvania,1972,121,0
Rhode Island,1972,109,0
South Carolina,1972,124,0
South Dakota,1972,118,0
Tennessee,1972,103,0
Texas,1972,5,0
Utah,1972,108,0
Vermont,1972,71,0
Virginia,1972,138,0
West Virginia,1972,137,0
Wisconsin,1972,117,0
Wyomming,1972,108,0
California,1972,140,0
Alabama,1973,123,0
Arkansas,1973,15,0
Colorado,1973,108,0
Connecticut,1973,39,0
Delaware,1973,31,0
Georgia,1973,69,0
Idaho,1973,31,0
Illinois,1973,80,0
Indiana,1973,40,0
Iowa,1973,156,0
Kansas,1973,59,0
Kentucky,1973,19,0
Louisiana,1973,201,0
Maine,1973,126,0
Monnesota,1973,138,0
Mississippi,1973,106,0
Missouri,1973,115,0
Montana,1973,132,0
Nebraska,1973,119,0
Nevada,1973,106,0
New Hampshire,1973,201,0
New Mexico,1973,279,0
North Carolina,1973,98,0
North Dakota,1973,226,0
Ohio,1973,108,0
Oklahoma,1973,120,0
Pennsylvania,1973,124,0
Rhode Island,1973,110,0
South Carolina,1973,142,0
South Dakota,1973,125,0
Tennessee,1973,103,0
Texas,1973,69,0
Utah,1973,400,0
Vermont,1973,695,0
Virginia,1973,31,0
West Virginia,1973,61,0
Wisconsin,1973,109,0
Wyomming,1973,116,0
California,1973,141,0
Alabama,1974,124,0
Arkansas,1974,108,0
Colorado,1974,109,0
Connecticut,1974,132,0
Delaware,1974,112,0
Georgia,1974,151,0
Idaho,1974,123,0
Illinois,1974,125,0
Indiana,1974,131,0
Iowa,1974,159,0
Kansas,1974,116,0
Kentucky,1974,118,0
Louisiana,1974,212,0
Maine,1974,129,0
Monnesota,1974,142,0
Mississippi,1974,110,0
Missouri,1974,117,0
Montana,1974,135,0
Nebraska,1974,121,0
Nevada,1974,110,0
New Hampshire,1974,204,0
New Mexico,1974,269,0
North Carolina,1974,100,0
North Dakota,1974,227,0
Ohio,1974,110,0
Oklahoma,1974,122,0
Pennsylvania,1974,130,0
Rhode Island,1974,114,0
South Carolina,1974,146,0
South Dakota,1974,129,0
Tennessee,1974,108,0
Texas,1974,114,0
Utah,1974,114,0
Vermont,1974,75,0
Virginia,1974,151,0
West Virginia,1974,149,0
Wisconsin,1974,119,0
Wyomming,1974,111,0
California,1974,145,0
Alabama,1975,126,0
Arkansas,1975,111,0
Colorado,1975,114,0
Connecticut,1975,131,0
Delaware,1975,110,0
Georgia,1975,147,0
Idaho,1975,122,0
Illinois,1975,123,0
